step: 00, acc:  50.00%, loss: 1.572870
step: 01, acc:  50.00%, loss: 1.568280
step: 02, acc:  50.00%, loss: 1.563849
step: 03, acc:  50.00%, loss: 1.559558
step: 04, acc:  50.00%, loss: 1.555417
step: 05, acc:  50.00%, loss: 1.551420
step: 06, acc:  50.00%, loss: 1.547519
step: 07, acc:  50.00%, loss: 1.543679
step: 08, acc:  50.00%, loss: 1.539907
step: 09, acc:  50.00%, loss: 1.536198
step: 10, acc:  50.00%, loss: 1.532535
step: 11, acc:  50.00%, loss: 1.528907
step: 12, acc:  50.00%, loss: 1.525303
step: 13, acc:  50.00%, loss: 1.521718
step: 14, acc:  50.00%, loss: 1.518155
step: 15, acc:  50.00%, loss: 1.514626
step: 16, acc:  50.00%, loss: 1.511120
step: 17, acc:  50.00%, loss: 1.507630
step: 18, acc:  50.00%, loss: 1.504148
step: 19, acc:  50.00%, loss: 1.500685
step: 20, acc:  50.00%, loss: 1.497244
step: 21, acc:  50.00%, loss: 1.493838
step: 22, acc:  50.00%, loss: 1.490466
step: 23, acc:  50.00%, loss: 1.487111
step: 24, acc:  50.00%, loss: 1.483777
step: 25, acc:  50.00%, loss: 1.480510
step: 26, acc:  50.00%, loss: 1.477322
step: 27, acc:  50.00%, loss: 1.474257
step: 28, acc:  50.00%, loss: 1.471285
step: 29, acc:  50.00%, loss: 1.468414
step: 30, acc:  50.00%, loss: 1.465700
step: 31, acc:  50.00%, loss: 1.463094
step: 32, acc:  50.00%, loss: 1.460534
step: 33, acc:  50.00%, loss: 1.457977
step: 34, acc:  50.00%, loss: 1.455421
step: 35, acc:  50.00%, loss: 1.452870
step: 36, acc:  50.00%, loss: 1.450323
step: 37, acc:  50.00%, loss: 1.447783
step: 38, acc:  50.00%, loss: 1.445239
step: 39, acc:  50.00%, loss: 1.442685
step: 40, acc:  50.00%, loss: 1.440111
step: 41, acc:  50.00%, loss: 1.437502
step: 42, acc:  50.00%, loss: 1.434864
step: 43, acc:  50.00%, loss: 1.432212
step: 44, acc:  50.00%, loss: 1.429564
step: 45, acc:  50.00%, loss: 1.426908
step: 46, acc:  50.00%, loss: 1.424229
step: 47, acc:  50.00%, loss: 1.421566
step: 48, acc:  50.00%, loss: 1.419074
step: 49, acc:  50.00%, loss: 1.416668
step: 50, acc:  50.00%, loss: 1.414281
step: 51, acc:  50.00%, loss: 1.412011
step: 52, acc:  50.00%, loss: 1.409856
step: 53, acc:  50.00%, loss: 1.407861
step: 54, acc:  50.00%, loss: 1.406139
step: 55, acc:  50.00%, loss: 1.404528
step: 56, acc:  50.00%, loss: 1.402891
step: 57, acc:  50.00%, loss: 1.401405
step: 58, acc:  50.00%, loss: 1.400027
step: 59, acc:  50.00%, loss: 1.398775
step: 60, acc:  50.00%, loss: 1.397582
step: 61, acc:  50.00%, loss: 1.396497
step: 62, acc:  50.00%, loss: 1.395472
step: 63, acc:  50.00%, loss: 1.394483
step: 64, acc:  50.00%, loss: 1.393525
step: 65, acc:  50.00%, loss: 1.392598
step: 66, acc:  50.00%, loss: 1.391709
step: 67, acc:  50.00%, loss: 1.390863
step: 68, acc:  50.00%, loss: 1.390071
step: 69, acc:  50.00%, loss: 1.389341
step: 70, acc:  50.00%, loss: 1.388672
step: 71, acc:  50.00%, loss: 1.388073
step: 72, acc:  50.00%, loss: 1.387548
step: 73, acc:  50.00%, loss: 1.387109
step: 74, acc:  50.00%, loss: 1.386762
step: 75, acc:  50.00%, loss: 1.386510
step: 76, acc:  50.00%, loss: 1.386353
step: 77, acc:  50.00%, loss: 1.386285
step: 78, acc:  49.44%, loss: 1.386294
step: 79, acc:  50.00%, loss: 1.386363
step: 80, acc:  50.00%, loss: 1.386472
step: 81, acc:  50.00%, loss: 1.386598
step: 82, acc:  50.00%, loss: 1.386718
step: 83, acc:  50.00%, loss: 1.386815
step: 84, acc:  50.00%, loss: 1.386877
step: 85, acc:  50.00%, loss: 1.386897
step: 86, acc:  50.00%, loss: 1.386877
step: 87, acc:  50.00%, loss: 1.386821
step: 88, acc:  50.00%, loss: 1.386737
step: 89, acc:  50.00%, loss: 1.386638
step: 90, acc:  50.00%, loss: 1.386533
step: 91, acc:  50.00%, loss: 1.386427
step: 92, acc:  50.00%, loss: 1.386330
step: 93, acc:  50.00%, loss: 1.386247
step: 94, acc:  50.00%, loss: 1.386179
step: 95, acc:  50.00%, loss: 1.386125
step: 96, acc:  50.83%, loss: 1.386085
step: 97, acc:  50.83%, loss: 1.386055
step: 98, acc:  56.11%, loss: 1.386026
step: 99, acc:  49.44%, loss: 1.386000
step: 100, acc:  51.94%, loss: 1.385966
step: 101, acc:  50.56%, loss: 1.385923
step: 102, acc:  50.00%, loss: 1.385872
step: 103, acc:  50.00%, loss: 1.385807
step: 104, acc:  50.00%, loss: 1.385733
step: 105, acc:  50.00%, loss: 1.385635
step: 106, acc:  50.00%, loss: 1.385517
step: 107, acc:  50.00%, loss: 1.385374
step: 108, acc:  50.00%, loss: 1.385221
step: 109, acc:  50.00%, loss: 1.385067
step: 110, acc:  50.00%, loss: 1.384906
step: 111, acc:  50.00%, loss: 1.384749
step: 112, acc:  50.28%, loss: 1.384598
step: 113, acc:  52.22%, loss: 1.384454
step: 114, acc:  55.56%, loss: 1.384339
step: 115, acc:  57.78%, loss: 1.384205
step: 116, acc:  59.44%, loss: 1.384087
step: 117, acc:  61.94%, loss: 1.383980
step: 118, acc:  64.44%, loss: 1.383870
step: 119, acc:  60.00%, loss: 1.383767
step: 120, acc:  56.67%, loss: 1.383674
step: 121, acc:  56.94%, loss: 1.383582
step: 122, acc:  53.33%, loss: 1.383493
step: 123, acc:  50.56%, loss: 1.383403
step: 124, acc:  47.78%, loss: 1.383315
step: 125, acc:  48.61%, loss: 1.383233
step: 126, acc:  48.61%, loss: 1.383150
step: 127, acc:  48.33%, loss: 1.383065
step: 128, acc:  49.17%, loss: 1.382978
step: 129, acc:  49.17%, loss: 1.382885
step: 130, acc:  49.17%, loss: 1.382786
step: 131, acc:  48.89%, loss: 1.382680
step: 132, acc:  49.17%, loss: 1.382570
step: 133, acc:  49.17%, loss: 1.382458
step: 134, acc:  48.89%, loss: 1.382342
step: 135, acc:  49.17%, loss: 1.382221
step: 136, acc:  49.17%, loss: 1.382093
step: 137, acc:  49.17%, loss: 1.381960
step: 138, acc:  49.17%, loss: 1.381819
step: 139, acc:  49.17%, loss: 1.381672
step: 140, acc:  48.89%, loss: 1.381518
step: 141, acc:  48.33%, loss: 1.381357
step: 142, acc:  48.61%, loss: 1.381187
step: 143, acc:  48.61%, loss: 1.381009
step: 144, acc:  48.61%, loss: 1.380823
step: 145, acc:  49.17%, loss: 1.380627
step: 146, acc:  48.06%, loss: 1.380420
step: 147, acc:  48.06%, loss: 1.380203
step: 148, acc:  47.78%, loss: 1.379974
step: 149, acc:  47.78%, loss: 1.379732
step: 150, acc:  47.78%, loss: 1.379474
step: 151, acc:  47.78%, loss: 1.379196
step: 152, acc:  47.78%, loss: 1.378894
step: 153, acc:  47.78%, loss: 1.378568
step: 154, acc:  47.50%, loss: 1.378222
step: 155, acc:  47.50%, loss: 1.377854
step: 156, acc:  47.50%, loss: 1.377460
step: 157, acc:  47.78%, loss: 1.377039
step: 158, acc:  47.50%, loss: 1.376594
step: 159, acc:  47.50%, loss: 1.376122
step: 160, acc:  47.50%, loss: 1.375629
